bath,bed,price,size,street,where
2.0,2.0,4795,1200.0,888 Eighth Avenue #5,Midtown
2.5,2.0,22000,1762.0,151 East 58th Street #41B,Midtown East
1.0,1.0,4325,630.0,77 West 24th Street #18F,Flatiron
1.0,1.0,4895,800.0,77 West 24th Street #14C,Flatiron
1.0,1.0,6250,1000.0,77 West 24th Street #6K,Flatiron
1.0,1.0,4595,800.0,200 North End Avenue #5D,Battery Park City
2.0,3.0,3400,1000.0,9 Monroe Street #2,Clinton Hill
2.0,3.0,3000,1400.0,392 Tompkins Avenue #4,Bedford-Stuyvesant
1.0,3.0,1900,1000.0,1428 Saint Marks #3,Crown Heights
1.0,1.0,3490,700.0,455 West 37th Street #1703,Midtown West
1.0,1.0,1999,860.0,1135 Pelham Parkway North #6C,Pelham Gardens
1.0,2.0,3300,1000.0,384 Warren Street #3,Boerum Hill
1.0,1.0,3300,700.0,255 E 49th Street #3C,Turtle Bay
1.0,2.0,2200,690.0,1207 Nostrand Avenue #2R,Prospect Lefferts Gardens
1.0,1.0,3650,716.0,120 Riverside Boulevard #9G,Lincoln Square
1.0,3.0,2800,1000.0,1144 Nostrand Avenue #2,Prospect Lefferts Gardens
1.0,1.0,4750,693.0,55 West 26th Street #30G,Chelsea
2.0,1.0,8750,1500.0,55 East 86th Street #PH17B,Carnegie Hill
1.0,1.0,4200,781.0,540 West 28th Street #6H,West Chelsea
1.0,2.0,3300,1100.0,440 Greene Avenue #1,Bedford-Stuyvesant
1.0,1.0,3640,735.0,303 E 83rd Street #30D,Yorkville
1.0,1.0,3925,818.0,160 Riverside Boulevard #7P,Lincoln Square
2.0,3.0,8447,1400.0,88 Leonard Street #1701,Tribeca
1.0,1.0,5985,774.0,50 East 28th Street #16F,NoMad
1.0,1.0,3650,600.0,117 W 13th Street #66,Greenwich Village
2.0,3.0,3125,1150.0,98-30 67th Avenue #6F,Forest Hills
2.0,3.0,2000,1144.0,612 Clarkson Avenue #1,Northeast Flatbush
2.0,2.0,8800,1096.0,301 West 57th Street #10D,Midtown West
1.0,1.0,4490,923.0,2 Northside Piers #17G,Williamsburg
2.0,2.0,6710,1100.0,1133 Manhattan Avenue #N722,Greenpoint
2.0,2.0,2300,800.0,770 Herkimer #1,Stuyvesant Heights
4.5,4.0,18000,3160.0,5 West 86th Street #5AB,Upper West Side
1.0,1.0,1795,500.0,267 Edgecombe Avenue #N4,Hamilton Heights
1.0,3.0,2395,1100.0,196 Bradhurst Avenue #3BED,Central Harlem
1.0,1.0,3300,726.0,40 N 4th Street #7PHF,Williamsburg
1.0,1.0,3500,748.0,120 Riverside Boulevard #9A,Lincoln Square
1.0,2.0,2400,950.0,1521 Brightwater Avenue #3H,Brighton Beach
1.0,3.0,2250,1000.0,1311 Herkimer Street #B,Ocean Hill
1.5,1.0,3600,800.0,235 East 40th Street #5B,Murray Hill
1.0,2.0,2895,1100.0,417 West 120 #5B,Morningside Heights
1.0,2.0,2200,875.0,31-22 74th Street #2,East Elmhurst
1.0,2.0,2200,800.0,26-12 12th Street #2,Gowanus
1.0,1.0,3600,630.0,350 West 43rd Street #7G,Midtown West
1.0,1.0,1600,600.0,415 76th Street #2F,Bay Ridge
1.0,1.0,3150,625.0,300 Rector Place #3I,Battery Park City
1.0,2.0,3700,800.0,592 Ninth Avenue #2,Midtown West
2.5,1.0,5800,1795.0,88 South 1st Street #1A,Williamsburg
1.0,2.5,2250,900.0,1450 Dean Street #3,Crown Heights
3.5,3.0,24500,2354.0,10 Madison Square West #5G,Flatiron
1.0,1.0,3700,850.0,113 West 77th Street #4,Upper West Side
1.0,2.0,3600,800.0,21 Judge Street #1C,East Williamsburg
2.0,2.0,4900,1062.0,10 Waterside Plaza #100426,Kips Bay
1.0,1.0,3500,800.0,307 East 44th Street #1404,Turtle Bay
2.0,3.0,5250,1000.0,397 16th Street #2,Park Slope
1.0,2.0,4300,757.0,40 Waterside Plaza #400432,Kips Bay
1.0,1.0,3700,731.0,10 Waterside Plaza #100438,Kips Bay
1.0,1.0,3100,672.0,10 Waterside Plaza #30,Kips Bay
2.0,3.0,6600,1158.0,10 Waterside Plaza #100562,Kips Bay
1.5,3.0,5400,1030.0,40 Waterside Plaza #572,Kips Bay
1.0,2.0,4000,757.0,40 Waterside Plaza #400144,Kips Bay
2.0,2.0,4800,997.0,20 Waterside Plaza #200264,Kips Bay
1.0,1.0,3000,850.0,251 Powers Street #3L,East Williamsburg
1.0,2.0,2700,1100.0,98-30 67th Avenue #5C,Forest Hills
1.0,1.0,1750,570.0,209 East 16th Street #B7,Prospect Park South
2.0,2.0,4150,912.0,516 West 47th Street #N3G,Midtown West
1.0,2.0,2379,1700.0,1227 Broadway #2R,Bushwick
2.5,2.0,8695,1365.0,201 East 87th Street #17R,Yorkville
1.0,2.0,3200,1100.0,452 Fort Washington Avenue #36,Hudson Heights
1.0,3.0,3650,950.0,230 West 113th Street #3A,Central Harlem
1.0,2.0,3415,725.0,412 West 36th Street #3B,Midtown West
1.0,2.0,2499,1000.0,41-38 67th Street #2F,Woodside
1.0,2.0,3800,820.0,40 Waterside Plaza #40,Kips Bay
1.0,1.0,3600,691.0,20 Waterside Plaza #200044,Kips Bay
2.0,3.0,6200,1194.0,20 Waterside Plaza #726,Kips Bay
1.0,1.0,2945,667.0,343 Gold Street #3213,Brooklyn
1.0,1.0,1600,350.0,2164 Caton Avenue #4A,Flatbush
1.0,3.0,2700,1100.0,465 Ocean Avenue #2A,Flatbush
1.0,2.0,2100,900.0,622 Ocean Parkway #D,Kensington
1.0,1.0,4350,704.0,123 Washington Street #42E,Financial District
1.0,1.0,3150,600.0,126 E 27th #1F,NoMad
1.0,1.0,3200,723.0,418 Central Park West #3,Manhattan Valley
1.0,3.0,3199,900.0,383 South 3rd Street #22,Williamsburg
3.0,3.0,17000,1972.0,203 East 13th Street #PH4CD,East Village
1.0,1.0,3205,582.0,15 Cliff Street #2D,Fulton/Seaport
2.5,3.0,15250,2000.0,165 E 71st Street #DUPLEX,Lenox Hill
1.0,2.0,3300,900.0,35 Conselyea #2F,Williamsburg
1.0,1.0,2100,550.0,59 W 76th Street #3D,Upper West Side
2.0,2.0,5500,2500.0,110-48 72nd Rd #1,Forest Hills
2.0,3.0,3450,1200.0,110-48 72nd Rd #3,Forest Hills
1.0,1.5,3100,833.0,708 Lorimer Street #3L,Williamsburg
1.0,1.0,2600,500.0,39-16 Prince Street ,Flushing
1.0,1.0,3200,600.0,235 East 40th Street #33E,Murray Hill
2.0,1.0,3800,850.0,145 East 48th Street #30C,Turtle Bay
2.5,2.0,13750,1342.0,99 Battery Place #16D,Battery Park City
1.0,1.0,3999,832.0,15 William Street #33C,Financial District
2.0,3.0,3499,1200.0,73 Malcolm X Boulevard #2,Bedford-Stuyvesant
1.0,1.0,3063,726.0,315 Avenue C #0MC,Stuyvesant Town/PCV
1.0,1.0,3864,773.0,272 First Avenue #10G,Stuyvesant Town/PCV
1.0,1.0,3390,944.0,420 East 23rd Street #8H,Stuyvesant Town/PCV
1.0,1.0,4595,704.0,309 5th Avenue #14B,Midtown South
1.0,3.0,3995,1100.0,201 West 107th Street #9,Manhattan Valley
1.5,1.0,6800,1115.0,721 Fifth Avenue #33E,Midtown
1.0,2.0,5100,790.0,301 West 53rd Street #14D,Midtown West
1.0,3.0,2200,725.0,197 Winthrop Street #2,Prospect Lefferts Gardens
1.0,2.0,2100,1050.0,22-40 77st #2C,Astoria
2.0,2.0,5750,1250.0,501 East 87th Street #9F,Yorkville
1.0,1.0,3950,760.0,525 East 72nd Street #44B,Upper East Side
1.0,2.0,3700,1000.0,97 Grand Avenue #1A,Clinton Hill
1.0,2.0,3900,1100.0,97 Grand Avenue #5C,Clinton Hill
1.5,1.0,3850,791.0,235 East 40th Street #35B,Murray Hill
2.0,2.0,3900,1027.0,40 N 4th Street #3G,Williamsburg
1.0,1.0,3500,812.0,67 Liberty Street #16A,Financial District
1.0,2.0,3400,900.0,477 3rd Street #1B,Park Slope
1.0,1.0,2975,650.0,301 East 79th Street #18F,Yorkville
1.0,1.0,1800,450.0,236 W 135th Street #5C,Central Harlem
1.0,1.0,1600,650.0,23-67 36th Street #2,Astoria
2.0,2.0,4115,860.0,236 Livingston Street #18F,Downtown Brooklyn
